HOI,size,distance_to_center,depth,color,categ,s_categ,categ freq,super categ freq
0,0.12157691378805623,0.06452775771143912,580.9290161132812,0.4655224401158987,person,person,8,8
1,0.011998988400175646,0.2695559689972453,636.4922485351562,0.3684112160650817,skateboard,sports,8,8
1,0.011998988400175646,0.2695559689972453,636.4922485351562,0.3684112160650817,skateboard,sports,8,8
0,0.12157691378805623,0.06452775771143912,580.9290161132812,0.4655224401158987,person,person,8,8
1,0.011998988400175646,0.2695559689972453,636.4922485351562,0.3684112160650817,skateboard,sports,8,8
0,0.12157691378805623,0.06452775771143912,580.9290161132812,0.4655224401158987,person,person,8,8
0,0.12157691378805623,0.06452775771143912,580.9290161132812,0.4655224401158987,person,person,8,8
1,0.011998988400175646,0.2695559689972453,636.4922485351562,0.3684112160650817,skateboard,sports,8,8
0,0.12157691378805623,0.06452775771143912,580.9290161132812,0.4655224401158987,person,person,8,8
1,0.011998988400175646,0.2695559689972453,636.4922485351562,0.3684112160650817,skateboard,sports,8,8
1,0.011998988400175646,0.2695559689972453,636.4922485351562,0.3684112160650817,skateboard,sports,8,8
0,0.12157691378805623,0.06452775771143912,580.9290161132812,0.4655224401158987,person,person,8,8
1,0.011998988400175646,0.2695559689972453,636.4922485351562,0.3684112160650817,skateboard,sports,8,8
0,0.12157691378805623,0.06452775771143912,580.9290161132812,0.4655224401158987,person,person,8,8
0,0.12157691378805623,0.06452775771143912,580.9290161132812,0.4655224401158987,person,person,8,8
1,0.011998988400175646,0.2695559689972453,636.4922485351562,0.3684112160650817,skateboard,sports,8,8
